system number ,exp. redox pot. [V],implicit solvation redox pot. [V],implicit + ML correction redox pot. [V]
302,-0.26,0.262,-0.018
303,-2.13,-2.552,-2.682
304,-2.37,-2.288,-2.243
305,0.44,1.659,1.043
306,-0.47,0.358,0.301
307,-0.43,0.805,-0.086
308,1.77,1.923,0.577
309,1.78,1.691,0.860
310,-2.81,-3.510,-3.239
311,-2.06,-2.159,-2.260
312,0.08,0.064,-0.391
313,0.75,1.434,1.090
